FlightNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,Airline,FlightDuration,AvgTicketPrice,Aircraft,PassengerCount
FL-144413,IST,LAX,2023-08-08 01:16:00,2023-08-08 02:50:00,Air France,1:34:00,263,Airbus A350,241
FL-254267,AMS,HND,2023-09-16 20:53:00,2023-09-17 01:23:00,Qantas,4:30:00,2137,Bombardier CRJ900,230
FL-761132,SFO,YYZ,2023-03-23 13:38:00,2023-03-23 16:47:00,Royal Jordanian,3:09:00,1269,Boeing 737,130
FL-460447,ORD,HND,2023-09-15 01:00:00,2023-09-15 08:06:00,Delta Airlines,7:06:00,217,Airbus A350,156
FL-479178,MEL,CDG,2023-07-24 17:06:00,2023-07-24 23:27:00,Air France,6:21:00,1009,Boeing 747,127
FL-356354,SFO,FRA,2023-06-05 17:53:00,2023-06-05 20:32:00,KLM,2:39:00,2096,Boeing 777,166
FL-540999,LAX,MEX,2023-06-22 18:00:00,2023-06-22 23:39:00,Singapore Airlines,5:39:00,1165,Boeing 767,142
FL-211733,FCO,ICN,2023-11-15 07:08:00,2023-11-15 12:51:00,American Airlines,5:43:00,575,Boeing 777,226
FL-957653,ICN,FRA,2023-01-10 19:50:00,2023-01-10 23:04:00,Asiana Airlines,3:14:00,2505,Boeing 737 MAX,201
FL-577110,YYZ,FCO,2023-09-03 18:04:00,2023-09-03 19:24:00,Finnair,1:20:00,2060,Boeing 737,184
FL-552845,YVR,MEL,2023-02-05 10:56:00,2023-02-05 16:34:00,Royal Jordanian,5:38:00,384,Boeing 737 MAX,162
FL-402773,DEN,JFK,2023-08-09 02:34:00,2023-08-09 04:56:00,Air France,2:22:00,2913,Boeing 777,223
FL-410973,YUL,JFK,2023-02-26 01:26:00,2023-02-26 07:25:00,Cathay Pacific,5:59:00,565,Boeing 787,211
FL-998588,HND,YVR,2023-06-16 22:40:00,2023-06-17 00:34:00,Cathay Pacific,1:54:00,2018,Boeing 737,152
FL-186833,DFW,FCO,2023-07-10 22:28:00,2023-07-11 05:59:00,Etihad Airways,7:31:00,2592,Airbus A320,192
FL-213630,DXB,IST,2023-03-12 00:42:00,2023-03-12 05:28:00,Aeroflot,4:46:00,1123,McDonnell Douglas MD-88,106
FL-923057,YOW,SFO,2023-07-20 22:15:00,2023-07-21 00:24:00,British Airways,2:09:00,2470,Embraer E190,209
FL-906702,YVR,MEL,2023-01-26 14:58:00,2023-01-26 22:30:00,Alitalia,7:32:00,899,Boeing 787,203
FL-605931,FRA,DEN,2023-01-20 23:46:00,2023-01-21 02:25:00,Swiss International Air Lines,2:39:00,1765,Airbus A320,177
FL-992353,DFW,ATL,2023-02-14 02:08:00,2023-02-14 08:10:00,Air France,6:02:00,2054,Embraer E190,233
FL-319790,YHZ,ATL,2023-06-16 18:08:00,2023-06-16 21:05:00,China Southern Airlines,2:57:00,2892,Airbus A340,202
FL-396967,MEX,MIA,2023-10-01 15:10:00,2023-10-01 17:11:00,KLM,2:01:00,1088,Boeing 787,210
FL-947224,SIN,ORD,2023-07-07 20:47:00,2023-07-07 22:29:00,WestJet,1:42:00,604,Airbus A340,242
FL-818611,YXU,SYD,2023-05-27 22:54:00,2023-05-28 00:37:00,Avianca,1:43:00,381,Boeing 777,158
FL-906969,LHR,YOW,2023-12-03 12:16:00,2023-12-03 15:22:00,Aeroflot,3:06:00,1957,Embraer E190,141
FL-879576,HKG,YHZ,2023-06-16 03:07:00,2023-06-16 08:15:00,China Southern Airlines,5:08:00,2766,McDonnell Douglas MD-88,119
FL-513143,DXB,CDG,2023-05-26 03:45:00,2023-05-26 11:50:00,Turkish Airlines,8:05:00,1294,Boeing 737,237
FL-496710,MIA,HKG,2023-11-05 11:18:00,2023-11-05 15:07:00,Delta Airlines,3:49:00,2519,Bombardier CRJ900,101
FL-649259,SIN,ATL,2023-08-15 18:46:00,2023-08-16 02:47:00,Avianca,8:01:00,587,Bombardier CRJ900,211
FL-816220,JFK,PEK,2023-12-14 16:17:00,2023-12-15 01:15:00,Etihad Airways,8:58:00,854,Boeing 737,236
FL-536593,SFO,MEX,2023-09-08 17:09:00,2023-09-08 20:03:00,Air France,2:54:00,2269,Boeing 747,206
FL-148344,SFO,SYD,2023-05-19 03:03:00,2023-05-19 11:50:00,United Airlines,8:47:00,567,Bombardier CRJ900,186
FL-482401,MIA,FRA,2023-05-01 03:30:00,2023-05-01 06:58:00,Qatar Airways,3:28:00,640,Airbus A340,191
FL-337646,HKG,FRA,2023-12-24 22:59:00,2023-12-25 02:30:00,EVA Air,3:31:00,1082,Airbus A350,227
FL-561391,LHR,MEL,2023-09-11 10:05:00,2023-09-11 11:05:00,Finnair,1:00:00,1941,Airbus A330,166
FL-514470,CDG,DXB,2023-04-03 05:44:00,2023-04-03 14:06:00,Etihad Airways,8:22:00,624,Bombardier Q400,217
FL-613307,LAX,SFO,2023-06-03 18:58:00,2023-06-03 21:37:00,Virgin Atlantic,2:39:00,1117,Boeing 737 MAX,101
FL-773323,HKG,LAX,2023-02-04 03:20:00,2023-02-04 04:54:00,Avianca,1:34:00,1792,Airbus A330,237
FL-672813,SIN,IST,2023-06-22 10:31:00,2023-06-22 14:33:00,Asiana Airlines,4:02:00,2258,Boeing 747,149
FL-151271,MEL,IST,2023-03-13 08:53:00,2023-03-13 10:29:00,British Airways,1:36:00,2080,Bombardier Q400,234
FL-761674,FRA,DFW,2023-02-20 23:01:00,2023-02-21 01:42:00,China Southern Airlines,2:41:00,1527,Airbus A330,107
FL-231739,YHZ,HKG,2023-05-11 14:19:00,2023-05-11 15:38:00,Finnair,1:19:00,1290,Boeing 777,186
FL-682049,LHR,ORD,2023-07-18 01:14:00,2023-07-18 08:42:00,EVA Air,7:28:00,1229,Bombardier CRJ900,137
FL-993160,MEX,CDG,2023-12-19 11:40:00,2023-12-19 20:04:00,ANA All Nippon Airways,8:24:00,2518,Airbus A380,231
FL-806161,HKG,LAX,2023-06-18 21:16:00,2023-06-19 02:45:00,Cathay Pacific,5:29:00,986,Airbus A340,212
FL-143665,CDG,FRA,2023-01-17 17:27:00,2023-01-17 19:02:00,Air Python,1:35:00,1539,Airbus A380,118
FL-121949,ICN,JFK,2023-02-04 05:40:00,2023-02-04 06:46:00,Turkish Airlines,1:06:00,2364,Bombardier Q400,235
FL-826826,ICN,DEN,2023-07-26 11:52:00,2023-07-26 16:21:00,Emirates,4:29:00,1141,Airbus A340,126
FL-957789,MIA,SYD,2023-09-13 18:12:00,2023-09-13 23:19:00,Asiana Airlines,5:07:00,2811,Airbus A330,107
FL-608405,YHZ,LHR,2023-02-01 10:43:00,2023-02-01 17:57:00,ANA All Nippon Airways,7:14:00,459,McDonnell Douglas MD-88,179
FL-784658,HND,MEL,2023-03-06 07:37:00,2023-03-06 12:57:00,Cathay Pacific,5:20:00,1041,Boeing 767,223
FL-793550,MIA,HND,2023-12-07 16:05:00,2023-12-07 23:59:00,Finnair,7:54:00,382,Bombardier CRJ900,239
FL-516997,HND,SYD,2023-01-09 13:48:00,2023-01-09 17:56:00,EVA Air,4:08:00,1155,Bombardier CRJ900,204
FL-978169,YOW,IST,2023-02-22 08:48:00,2023-02-22 13:05:00,Emirates,4:17:00,491,Boeing 787,195
FL-234446,HKG,FRA,2023-03-23 17:43:00,2023-03-23 19:14:00,Air France,1:31:00,1509,Airbus A350,155
FL-632171,MEX,MIA,2023-07-27 23:52:00,2023-07-28 04:46:00,Royal Jordanian,4:54:00,739,Airbus A350,209
FL-528062,HND,ORD,2023-06-14 20:38:00,2023-06-15 01:36:00,Lufthansa,4:58:00,949,Boeing 747,196
FL-337946,DEN,YYZ,2023-12-08 03:28:00,2023-12-08 08:18:00,United Airlines,4:50:00,1547,Airbus A350,162
FL-708261,SIN,YOW,2023-09-11 07:41:00,2023-09-11 15:36:00,Qatar Airways,7:55:00,247,Airbus A320,249
FL-783003,SFO,YOW,2023-12-21 21:48:00,2023-12-22 00:52:00,Singapore Airlines,3:04:00,2724,Airbus A330,106
FL-765704,MIA,DFW,2023-09-11 23:34:00,2023-09-12 02:29:00,ANA All Nippon Airways,2:55:00,1082,Boeing 737 MAX,234
FL-628206,ATL,YOW,2023-12-14 20:32:00,2023-12-14 23:30:00,ANA All Nippon Airways,2:58:00,2708,Bombardier Q400,101
FL-590124,DEN,AMS,2023-01-26 04:38:00,2023-01-26 09:24:00,Alitalia,4:46:00,2788,Boeing 777,164
FL-955880,SYD,AMS,2023-02-09 16:09:00,2023-02-09 19:08:00,WestJet,2:59:00,462,Airbus A320,154
FL-695047,YUL,AMS,2023-06-22 06:00:00,2023-06-22 08:19:00,KLM,2:19:00,1578,Boeing 747,216
FL-164397,HKG,DEN,2023-04-12 06:40:00,2023-04-12 08:47:00,Aeroflot,2:07:00,1776,Embraer E190,235
FL-377152,DXB,YVR,2023-04-12 17:52:00,2023-04-12 23:24:00,Finnair,5:32:00,1354,Airbus A380,192
FL-275135,PEK,YYZ,2023-01-03 18:53:00,2023-01-04 02:39:00,Turkish Airlines,7:46:00,959,Boeing 777,133
FL-237685,MIA,ORD,2023-08-10 09:57:00,2023-08-10 12:19:00,EVA Air,2:22:00,2682,Airbus A330,138
